# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403638168.28507 3.385429 9.968460 3.704739 -0.602908 -0.560525 -0.382151 0.419850 0.0004710151 -0.0000409332 -0.0001788991 0.0000048679 0.0000156204 0.0000697646 0.0446582502 0.0028207063 0.0000940952 0.0040189806 0.0003563312 0.0015409273
1403638168.35174 3.469775 10.015741 3.722111 -0.607907 -0.554412 -0.389749 0.413729 0.0004720485 -0.0000374464 -0.0001783283 0.0000042751 0.0000142073 0.0000691762 0.0450989650 0.0024359895 0.0000982474 0.0039679069 0.0003554614 0.0015383059
1403638168.41841 3.558045 10.063704 3.743179 -0.612593 -0.548930 -0.397007 0.407174 0.0004729972 -0.0000335657 -0.0001782161 0.0000036941 0.0000126980 0.0000689653 0.0455545926 0.0020461646 0.0001018347 0.0039437127 0.0003578362 0.0015435700
1403638168.48507 3.648555 10.107466 3.763215 -0.616595 -0.546951 -0.403254 0.397544 0.0004715432 -0.0000265359 -0.0001808194 0.0000028012 0.0000102129 0.0000711548 0.0460103865 0.0016439880 0.0001061990 0.0039116526 0.0003593901 0.0015440451
1403638168.55174 3.738046 10.156437 3.782013 -0.619838 -0.548255 -0.407869 0.385824 0.0004682835 -0.0000173489 -0.0001856102 0.0000019567 0.0000069001 0.0000754118 0.0464397913 0.0012236220 0.0001099705 0.0039035850 0.0003616273 0.0015495356
1403638168.61841 3.828844 10.207516 3.796347 -0.622370 -0.550751 -0.411107 0.374593 0.0004637843 -0.0000084249 -0.0001906894 0.0000014478 0.0000034621 0.0000802512 0.0469235345 0.0008153918 0.0001162685 0.0038824146 0.0003599832 0.0015478291
1403638168.68507 3.918146 10.259187 3.808946 -0.624065 -0.552769 -0.413997 0.365507 0.0004604435 -0.0000010314 -0.0001943275 0.0000013060 0.0000004210 0.0000838856 0.0474405513 0.0003905817 0.0001204396 0.0038923305 0.0003615473 0.0015526499
1403638168.75174 4.006978 10.313231 3.815167 -0.625080 -0.554141 -0.415400 0.360063 0.0004577188 0.0000033782 -0.0001966234 0.0000013226 -0.0000014767 0.0000863329 0.0479542713 -0.0000179609 0.0001258114 0.0038900799 0.0003638467 0.0015525571
1403638168.81841 4.090785 10.369760 3.821486 -0.626215 -0.554893 -0.415714 0.356555 0.0004559828 0.0000055574 -0.0001983422 0.0000013728 -0.0000024455 0.0000881602 0.0485016524 -0.0004338428 0.0001303426 0.0039155364 0.0003657676 0.0015575799
1403638168.88507 4.174216 10.426592 3.824308 -0.626722 -0.555948 -0.415682 0.354047 0.0004541340 0.0000074058 -0.0001997900 0.0000014314 -0.0000032924 0.0000897771 0.0490846398 -0.0008285803 0.0001346778 0.0039371966 0.0003699743 0.0015593017
1403638168.95174 4.254248 10.482836 3.823241 -0.626905 -0.556509 -0.415343 0.353240 0.0004534838 0.0000077415 -0.0002005132 0.0000014517 -0.0000034561 0.0000905533 0.0496841142 -0.0012291688 0.0001393348 0.0039782071 0.0003714352 0.0015635817
