# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403638156.41842 1.842538 2.932764 1.350421 -0.394971 -0.728959 -0.256362 0.496886 0.0003926167 -0.0000100872 -0.0001528304 0.0000137781 0.0000041212 0.0000748462 0.0045400602 0.0005779177 0.0001476957 0.0034707017 0.0000504061 0.0025973128
1403638156.48508 1.771911 2.947745 1.357092 -0.391676 -0.732271 -0.251275 0.497222 0.0003900514 -0.0000113927 -0.0001541866 0.0000136776 0.0000047455 0.0000763118 0.0046546657 0.0005885213 0.0001482207 0.0035362547 0.0000578535 0.0026419592
1403638156.55175 1.723179 2.965283 1.359274 -0.388143 -0.734832 -0.247122 0.498295 0.0003865258 -0.0000113456 -0.0001535137 0.0000125277 0.0000047608 0.0000754910 0.0045131022 0.0007155453 0.0001453971 0.0035511476 0.0000593216 0.0025311438
1403638156.61842 1.663228 2.980331 1.357254 -0.386000 -0.735936 -0.245155 0.499301 0.0003846143 -0.0000116673 -0.0001530716 0.0000118081 0.0000048711 0.0000752171 0.0045426721 0.0007637159 0.0001363050 0.0035882118 0.0000636220 0.0025240483
1403638156.68508 1.592437 3.006898 1.354490 -0.384799 -0.737166 -0.243936 0.499011 0.0003823333 -0.0000113743 -0.0001523648 0.0000110095 0.0000046795 0.0000747477 0.0045660959 0.0008117240 0.0001249144 0.0036421497 0.0000719670 0.0024867428
1403638156.75175 1.541647 3.022160 1.334413 -0.383212 -0.737171 -0.243159 0.500602 0.0003763043 -0.0000111336 -0.0001508909 0.0000102403 0.0000045635 0.0000742764 0.0045566648 0.0008579444 0.0001057353 0.0037133044 0.0000721405 0.0024596080
1403638156.81842 1.485387 3.040095 1.333748 -0.383633 -0.737423 -0.243626 0.499679 0.0003740829 -0.0000108925 -0.0001493487 0.0000097585 0.0000044764 0.0000731409 0.0045235763 0.0008996142 0.0001080887 0.0037647456 0.0000689943 0.0024628645
1403638156.88508 1.446595 3.062091 1.327510 -0.384685 -0.737777 -0.243863 0.498231 0.0003715472 -0.0000100871 -0.0001487181 0.0000091681 0.0000041339 0.0000727209 0.0045154852 0.0009509520 0.0001059420 0.0038164488 0.0000680861 0.0024249356
1403638156.95175 1.393917 3.084173 1.306971 -0.385497 -0.737570 -0.244255 0.497718 0.0003689787 -0.0000099759 -0.0001489808 0.0000087418 0.0000041020 0.0000731296 0.0045331085 0.0009911693 0.0001054407 0.0038491857 0.0000714842 0.0024103273
1403638157.01842 1.335483 3.113429 1.301378 -0.387199 -0.737443 -0.244576 0.496424 0.0003664678 -0.0000105352 -0.0001486303 0.0000084221 0.0000041933 0.0000729819 0.0045910576 0.0010286234 0.0001031991 0.0039061724 0.0000696891 0.0024063921
1403638157.08508 1.272620 3.146551 1.308403 -0.388952 -0.737669 -0.244212 0.494896 0.0003630517 -0.0000109208 -0.0001492100 0.0000081004 0.0000043419 0.0000737187 0.0045984967 0.0010947109 0.0001065155 0.0039767549 0.0000691322 0.0024086556
1403638157.15175 1.217805 3.179516 1.302136 -0.391180 -0.738446 -0.244148 0.492004 0.0003588072 -0.0000105643 -0.0001503408 0.0000078342 0.0000042197 0.0000751314 0.0046337718 0.0011480067 0.0001024409 0.0040610054 0.0000690647 0.0024017099
1403638157.21842 1.149261 3.216850 1.305783 -0.393377 -0.738455 -0.244510 0.490055 0.0003568706 -0.0000107333 -0.0001510164 0.0000077738 0.0000043361 0.0000759690 0.0047057642 0.0011973570 0.0001015683 0.0041448480 0.0000737225 0.0024183244
1403638157.28508 1.094343 3.251588 1.314833 -0.393518 -0.738128 -0.244413 0.490482 0.0003574194 -0.0000109366 -0.0001505356 0.0000077780 0.0000043966 0.0000753776 0.0048314029 0.0012598197 0.0000966950 0.0042616835 0.0000803817 0.0024510835
1403638157.35175 1.030592 3.294031 1.310016 -0.390149 -0.738872 -0.246348 0.491085 0.0003557911 -0.0000087397 -0.0001491501 0.0000073347 0.0000034556 0.0000738164 0.0048234194 0.0013217915 0.0001018510 0.0043371636 0.0000803204 0.0023722304
1403638157.41842 0.974648 3.327615 1.313745 -0.387027 -0.739083 -0.249584 0.491604 0.0003573881 -0.0000055954 -0.0001476280 0.0000071117 0.0000020471 0.0000720275 0.0049178339 0.0013941402 0.0000926792 0.0044485018 0.0000876412 0.0023802202
