# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1520530313.99976 0.946326 -0.240683 1.222341 0.022429 0.005384 -0.000313 0.999734 0.0032549041 0.0000000000 0.0000000082 0.0032550442 0.0000001754 0.0032550778 0.1561138632 0.0000021575 -0.0011980790 0.1561225762 0.0002822437 0.0045458111
1520530314.04976 0.955191 -0.242837 1.220051 0.022192 0.006476 0.000913 0.999732 0.0034075462 -0.0000000084 0.0000000033 0.0034077042 0.0000001920 0.0034077286 0.1800177684 0.0000027895 -0.0014464306 0.1800289859 0.0003436392 0.0048800681
1520530314.09976 0.865371 -0.272285 1.219399 0.025388 0.003170 0.002356 0.999670 0.0008093754 0.0002232899 -0.0001680985 0.0020983998 -0.0001386912 0.0034987822 0.0675181010 0.0049485105 0.0002781962 0.0054855207 0.0022809746 0.0051772070
1520530314.14976 0.869750 -0.276861 1.216965 0.026135 0.005281 0.004767 0.999633 0.0008832293 0.0002479625 -0.0001866643 0.0022171638 -0.0001390134 0.0036557072 0.0784195561 0.0052640218 0.0002257331 0.0061984339 0.0025522936 0.0055536403
1520530314.19977 0.875206 -0.281703 1.214369 0.026611 0.006574 0.008258 0.999590 0.0009612349 0.0002764402 -0.0002016204 0.0023384941 -0.0001397511 0.0038177588 0.0907972658 0.0055429021 0.0001474441 0.0070801785 0.0028482247 0.0059559720
1520530314.24977 0.918123 -0.291086 1.209605 0.028992 0.009210 0.011449 0.999472 0.0005494689 0.0002373282 -0.0000369305 0.0006967679 0.0000448598 0.0038879211 0.0137482587 -0.0002293187 0.0035711168 0.0058829767 0.0034616023 0.0062315070
1520530314.29977 0.928369 -0.297560 1.206696 0.028818 0.009532 0.014726 0.999431 0.0005951398 0.0002558212 -0.0000343019 0.0007448350 0.0000486868 0.0040553397 0.0156006517 -0.0005109773 0.0039621575 0.0065971931 0.0038373552 0.0066676549
1520530314.34977 0.939938 -0.304495 1.203908 0.028251 0.009848 0.017686 0.999396 0.0006425112 0.0002748943 -0.0000312832 0.0007948096 0.0000500423 0.0042275581 0.0177319572 -0.0008736440 0.0043812444 0.0074556801 0.0042452359 0.0071310105
1520530314.39977 0.953295 -0.312199 1.201498 0.028413 0.009592 0.021671 0.999315 0.0006930680 0.0002949524 -0.0000242682 0.0008453687 0.0000561866 0.0044044103 0.0201815385 -0.0013323109 0.0048272968 0.0084876640 0.0046881100 0.0076226521
1520530314.44977 0.997158 -0.302668 1.217746 0.031719 0.011627 0.033009 0.998884 0.0002832579 0.0002012177 -0.0002901197 0.0004146929 -0.0004256104 0.0035783223 0.0182721307 -0.0034964273 0.0030948436 0.0051346379 0.0021963132 0.0058646788
1520530314.49977 1.049480 -0.289784 1.260698 0.034125 0.009842 0.031892 0.998860 0.0002958498 0.0002077432 -0.0003151949 0.0004291808 -0.0004222520 0.0036471916 0.0198443390 -0.0048116959 0.0024960602 0.0053846508 0.0018103951 0.0052727979
1520530314.54978 1.165856 -0.326260 1.282635 0.040378 0.015282 0.013774 0.998973 0.0002539261 0.0001626867 -0.0003093102 0.0003351430 -0.0001189665 0.0025059666 0.0170642505 -0.0043801667 0.0019985058 0.0052378432 0.0016873825 0.0049755560
1520530314.59978 1.132181 -0.305076 1.289690 0.039384 0.012500 0.031104 0.998662 0.0001559689 0.0000820309 -0.0001564378 0.0001915789 0.0000340355 0.0021907203 0.0127690163 -0.0027599599 0.0019096975 0.0038381344 0.0006612137 0.0033574186
1520530314.64978 1.105710 -0.289148 1.299088 0.037567 0.011567 0.048570 0.998046 0.0001000172 0.0000487122 0.0000426628 0.0001709241 0.0001499467 0.0015232767 0.0091619069 -0.0006963789 0.0017879372 0.0025971059 0.0007002289 0.0033891120
